
Iterations = 1:4996
Thinning interval = 5 
Number of chains = 3 
Sample size per chain = 1000 

1. Empirical mean and standard deviation for each variable,
   plus standard error of the mean:

              Mean        SD  Naive SE Time-series SE
a[219]   3.125e+06 7.590e+01 1.386e+00      1.311e+00
a[220]   7.696e+06 1.002e+02 1.829e+00      2.009e+00
a[221]   4.462e+06 6.014e+01 1.098e+00      1.121e+00
a[222]   2.961e+06 9.756e+01 1.781e+00      1.600e+00
a[223]   3.574e+06 9.614e+01 1.755e+00      1.755e+00
a[224]   5.089e+06 9.177e+01 1.676e+00      1.692e+00
a[225]   5.097e+06 1.022e+02 1.866e+00      1.866e+00
a[226]   6.959e+06 1.023e+02 1.867e+00      1.940e+00
a[227]   4.971e+06 1.001e+02 1.828e+00      1.828e+00
a[228]   7.040e+06 1.031e+02 1.882e+00      1.882e+00
a[229]   1.961e+06 5.779e+01 1.055e+00      1.021e+00
a[230]   3.139e+06 9.478e+01 1.730e+00      1.730e+00
a[231]   7.318e+06 1.033e+02 1.886e+00      2.070e+00
a[232]   3.574e+06 1.010e+02 1.844e+00      1.866e+00
a[233]   5.133e+06 1.009e+02 1.843e+00      1.892e+00
a[234]   4.589e+06 1.006e+02 1.836e+00      1.913e+00
a[235]   3.021e+06 9.913e+01 1.810e+00      1.810e+00
a[236]   1.433e+06 2.787e+01 5.089e-01      5.320e-01
a[237]   2.446e+06 1.017e+02 1.857e+00      1.866e+00
a[238]   5.899e+06 8.592e+01 1.569e+00      1.744e+00
a[239]   7.159e+06 1.019e+02 1.861e+00      1.861e+00
a[240]   4.018e+06 7.105e+01 1.297e+00      1.378e+00
a[241]   4.122e+06 9.421e+01 1.720e+00      1.805e+00
a[242]   2.833e+06 9.543e+01 1.742e+00      1.742e+00
a[243]   5.548e+06 9.891e+01 1.806e+00      1.844e+00
a[244]   3.139e+06 7.982e+01 1.457e+00      1.457e+00
a[245]   2.755e+06 9.086e+01 1.659e+00      1.659e+00
a[246]   5.549e+06 9.827e+01 1.794e+00      1.857e+00
a[247]   2.746e+06 8.994e+01 1.642e+00      1.713e+00
a[248]   4.480e+06 1.042e+02 1.903e+00      1.966e+00
a[249]   6.624e+06 1.000e+02 1.826e+00      1.801e+00
a[250]   5.119e+06 1.029e+02 1.878e+00      1.878e+00
 [ reached getOption("max.print") -- omitted 880 rows ]

2. Quantiles for each variable:

              2.5%        25%        50%        75%      97.5%
a[1]     2.460e+06  2.460e+06  2.460e+06  2.460e+06  2.460e+06
a[2]     2.406e+06  2.406e+06  2.406e+06  2.406e+06  2.406e+06
a[3]     3.760e+06  3.760e+06  3.760e+06  3.760e+06  3.760e+06
a[4]     8.724e+05  8.725e+05  8.725e+05  8.726e+05  8.727e+05
a[5]     7.162e+06  7.162e+06  7.162e+06  7.162e+06  7.162e+06
a[6]     7.203e+06  7.203e+06  7.203e+06  7.203e+06  7.203e+06
a[7]     7.215e+06  7.215e+06  7.215e+06  7.215e+06  7.215e+06
a[8]     6.624e+06  6.624e+06  6.624e+06  6.624e+06  6.624e+06
a[9]     4.139e+06  4.140e+06  4.140e+06  4.140e+06  4.140e+06
a[10]    4.680e+06  4.680e+06  4.680e+06  4.680e+06  4.681e+06
a[11]    9.182e+06  9.182e+06  9.183e+06  9.183e+06  9.183e+06
a[12]    7.040e+06  7.040e+06  7.040e+06  7.040e+06  7.040e+06
a[13]    2.485e+06  2.485e+06  2.485e+06  2.485e+06  2.485e+06
a[14]    2.431e+06  2.431e+06  2.431e+06  2.431e+06  2.431e+06
a[15]    7.907e+06  7.907e+06  7.907e+06  7.907e+06  7.907e+06
a[16]    2.111e+06  2.111e+06  2.111e+06  2.111e+06  2.111e+06
a[17]    5.947e+06  5.947e+06  5.947e+06  5.947e+06  5.947e+06
a[18]    9.178e+06  9.178e+06  9.178e+06  9.179e+06  9.179e+06
a[19]    5.019e+06  5.019e+06  5.019e+06  5.019e+06  5.019e+06
a[20]    6.882e+06  6.882e+06  6.882e+06  6.882e+06  6.882e+06
a[21]    9.271e+06  9.271e+06  9.271e+06  9.271e+06  9.271e+06
a[22]    5.588e+06  5.588e+06  5.588e+06  5.588e+06  5.588e+06
a[23]    3.710e+06  3.710e+06  3.710e+06  3.710e+06  3.710e+06
a[24]    3.525e+06  3.525e+06  3.525e+06  3.525e+06  3.525e+06
a[25]    6.503e+06  6.503e+06  6.503e+06  6.503e+06  6.503e+06
a[26]    5.315e+06  5.315e+06  5.315e+06  5.315e+06  5.315e+06
a[27]    4.635e+06  4.635e+06  4.635e+06  4.635e+06  4.636e+06
a[28]    4.988e+06  4.988e+06  4.988e+06  4.988e+06  4.989e+06
a[29]    2.533e+06  2.533e+06  2.534e+06  2.534e+06  2.534e+06
a[30]    6.624e+06  6.624e+06  6.624e+06  6.624e+06  6.624e+06
a[31]    6.260e+06  6.261e+06  6.261e+06  6.261e+06  6.261e+06
a[32]    7.279e+06  7.279e+06  7.279e+06  7.279e+06  7.279e+06
a[33]    7.382e+06  7.382e+06  7.382e+06  7.382e+06  7.382e+06
a[34]    4.997e+06  4.997e+06  4.997e+06  4.997e+06  4.997e+06
a[35]    2.429e+06  2.429e+06  2.429e+06  2.429e+06  2.429e+06
a[36]    2.254e+06  2.254e+06  2.254e+06  2.254e+06  2.254e+06
a[37]    5.368e+06  5.368e+06  5.368e+06  5.368e+06  5.368e+06
a[38]    3.549e+06  3.549e+06  3.549e+06  3.549e+06  3.549e+06
a[39]    2.914e+06  2.914e+06  2.914e+06  2.914e+06  2.914e+06
a[40]    4.467e+06  4.467e+06  4.467e+06  4.467e+06  4.467e+06
a[41]    4.595e+06  4.595e+06  4.595e+06  4.595e+06  4.595e+06
a[42]    1.232e+06  1.232e+06  1.232e+06  1.232e+06  1.232e+06
a[43]    4.191e+06  4.192e+06  4.192e+06  4.192e+06  4.192e+06
a[44]    4.815e+06  4.815e+06  4.815e+06  4.815e+06  4.815e+06
a[45]    5.139e+06  5.139e+06  5.139e+06  5.139e+06  5.139e+06
a[46]    6.596e+06  6.596e+06  6.596e+06  6.596e+06  6.596e+06
a[47]    4.307e+06  4.307e+06  4.307e+06  4.307e+06  4.307e+06
a[48]    9.888e+06  9.888e+06  9.888e+06  9.889e+06  9.889e+06
a[49]    3.783e+06  3.783e+06  3.783e+06  3.783e+06  3.783e+06
a[50]    5.386e+06  5.386e+06  5.386e+06  5.386e+06  5.386e+06
a[51]    2.452e+06  2.452e+06  2.452e+06  2.452e+06  2.452e+06
a[52]    4.177e+06  4.177e+06  4.177e+06  4.177e+06  4.177e+06
a[53]    5.573e+06  5.573e+06  5.573e+06  5.573e+06  5.574e+06
a[54]    4.163e+06  4.163e+06  4.163e+06  4.163e+06  4.163e+06
a[55]    2.457e+06  2.457e+06  2.457e+06  2.457e+06  2.457e+06
a[56]    3.955e+06  3.955e+06  3.955e+06  3.955e+06  3.955e+06
a[57]    5.479e+06  5.480e+06  5.480e+06  5.480e+06  5.480e+06
a[58]    3.233e+06  3.233e+06  3.233e+06  3.233e+06  3.233e+06
a[59]    1.675e+06  1.675e+06  1.675e+06  1.676e+06  1.676e+06
a[60]    2.683e+06  2.683e+06  2.683e+06  2.684e+06  2.684e+06
a[61]    3.909e+06  3.910e+06  3.910e+06  3.910e+06  3.910e+06
a[62]    3.265e+06  3.265e+06  3.265e+06  3.265e+06  3.265e+06
a[63]    5.936e+06  5.936e+06  5.936e+06  5.936e+06  5.936e+06
a[64]    2.554e+06  2.555e+06  2.555e+06  2.555e+06  2.555e+06
a[65]    6.045e+06  6.045e+06  6.045e+06  6.045e+06  6.046e+06
a[66]    2.836e+06  2.836e+06  2.836e+06  2.836e+06  2.836e+06
a[67]    9.182e+05  9.182e+05  9.183e+05  9.183e+05  9.184e+05
a[68]    4.939e+06  4.939e+06  4.939e+06  4.939e+06  4.939e+06
a[69]    5.656e+06  5.656e+06  5.656e+06  5.656e+06  5.656e+06
a[70]    7.797e+06  7.798e+06  7.798e+06  7.798e+06  7.798e+06
a[71]    3.457e+06  3.457e+06  3.457e+06  3.457e+06  3.457e+06
a[72]    2.715e+06  2.715e+06  2.715e+06  2.715e+06  2.715e+06
a[73]    4.989e+06  4.989e+06  4.989e+06  4.989e+06  4.990e+06
a[74]    9.396e+06  9.396e+06  9.396e+06  9.396e+06  9.396e+06
a[75]    5.649e+06  5.649e+06  5.649e+06  5.649e+06  5.650e+06
a[76]    4.547e+06  4.547e+06  4.547e+06  4.547e+06  4.547e+06
a[77]    4.594e+06  4.594e+06  4.594e+06  4.595e+06  4.595e+06
a[78]    3.520e+06  3.520e+06  3.520e+06  3.520e+06  3.521e+06
a[79]    2.434e+06  2.434e+06  2.434e+06  2.434e+06  2.434e+06
a[80]    5.308e+06  5.308e+06  5.308e+06  5.308e+06  5.308e+06
a[81]    5.546e+06  5.546e+06  5.546e+06  5.547e+06  5.547e+06
a[82]    5.674e+06  5.674e+06  5.674e+06  5.674e+06  5.674e+06
a[83]    8.594e+06  8.594e+06  8.594e+06  8.595e+06  8.595e+06
a[84]    1.528e+07  1.528e+07  1.528e+07  1.528e+07  1.528e+07
a[85]    1.809e+06  1.809e+06  1.809e+06  1.809e+06  1.809e+06
a[86]    9.919e+06  9.919e+06  9.919e+06  9.920e+06  9.920e+06
a[87]    1.860e+06  1.860e+06  1.860e+06  1.860e+06  1.860e+06
a[88]    2.583e+06  2.583e+06  2.583e+06  2.583e+06  2.583e+06
a[89]    5.830e+06  5.830e+06  5.830e+06  5.830e+06  5.830e+06
a[90]    2.684e+06  2.685e+06  2.685e+06  2.685e+06  2.685e+06
a[91]    4.520e+06  4.520e+06  4.520e+06  4.520e+06  4.520e+06
a[92]    5.214e+06  5.214e+06  5.214e+06  5.214e+06  5.214e+06
a[93]    3.520e+06  3.520e+06  3.520e+06  3.521e+06  3.521e+06
a[94]    1.072e+07  1.072e+07  1.072e+07  1.072e+07  1.072e+07
a[95]    2.463e+06  2.463e+06  2.463e+06  2.463e+06  2.463e+06
a[96]    5.129e+06  5.129e+06  5.129e+06  5.129e+06  5.129e+06
a[97]    3.606e+06  3.606e+06  3.606e+06  3.606e+06  3.606e+06
a[98]    6.684e+06  6.684e+06  6.684e+06  6.684e+06  6.684e+06
a[99]    6.302e+06  6.302e+06  6.302e+06  6.302e+06  6.302e+06
a[100]   4.314e+06  4.314e+06  4.314e+06  4.314e+06  4.314e+06
a[101]   5.517e+06  5.517e+06  5.517e+06  5.518e+06  5.518e+06
a[102]   5.478e+06  5.478e+06  5.478e+06  5.478e+06  5.478e+06
a[103]   1.107e+07  1.107e+07  1.107e+07  1.107e+07  1.107e+07
a[104]   4.628e+06  4.628e+06  4.628e+06  4.628e+06  4.628e+06
a[105]   3.353e+06  3.353e+06  3.354e+06  3.354e+06  3.354e+06
a[106]   8.653e+06  8.653e+06  8.653e+06  8.653e+06  8.653e+06
a[107]   9.415e+06  9.415e+06  9.415e+06  9.415e+06  9.415e+06
a[108]   2.788e+06  2.788e+06  2.788e+06  2.788e+06  2.788e+06
a[109]   5.549e+06  5.549e+06  5.549e+06  5.549e+06  5.549e+06
a[110]   5.720e+06  5.720e+06  5.720e+06  5.720e+06  5.720e+06
a[111]   5.115e+06  5.115e+06  5.115e+06  5.115e+06  5.115e+06
a[112]   7.477e+06  7.477e+06  7.478e+06  7.478e+06  7.478e+06
a[113]   6.435e+06  6.435e+06  6.435e+06  6.435e+06  6.435e+06
a[114]   3.571e+06  3.571e+06  3.571e+06  3.571e+06  3.571e+06
a[115]   6.921e+06  6.921e+06  6.921e+06  6.921e+06  6.921e+06
a[116]   6.702e+05  6.702e+05  6.703e+05  6.703e+05  6.704e+05
