player_id,salary,pos,age,tm,g,gs,mp,fg,3p,2p,ft,orb,drb,trb,ast,stl,blk,tov,pf,pts,season,season_end,season_start,age_group,team,position
aminual01,7680965,PF,26,POR,61,25,1773,183,70,113,96,77,374,451,99,60,44,94,102,532,2016-17,2017,2016,1,25,2
anderch01,1551659,C,38,CLE,12,0,114,9,0,9,10,9,22,31,5,5,7,5,20,28,2016-17,2017,2016,3,6,1
anderal01,1315448,SF,34,LAC,30,0,308,30,14,16,12,3,21,24,11,3,0,7,35,86,2016-17,2017,2016,3,13,5
anderju01,1514160,SF,23,TOT,75,10,1228,186,58,128,102,69,176,245,66,41,23,66,109,532,2016-17,2017,2016,1,29,5
anderju01,1514160,SF,23,DAL,51,2,710,111,37,74,70,39,110,149,32,28,16,40,64,329,2016-17,2017,2016,1,7,5
anderju01,1514160,SF,23,PHI,24,8,518,75,21,54,32,30,66,96,34,13,7,26,45,203,2016-17,2017,2016,1,23,5
anderky01,1192080,SF,23,SAS,72,14,1020,93,15,78,45,33,175,208,91,51,26,39,63,246,2016-17,2017,2016,1,27,5
anderry01,18735364,PF,28,HOU,72,72,2116,323,204,119,129,112,218,330,68,31,14,55,142,979,2016-17,2017,2016,2,11,2
antetgi01,2995421,SF,22,MIL,80,80,2845,656,49,607,471,142,558,700,434,131,151,234,246,1832,2016-17,2017,2016,1,17,5
anthoca01,24559380,SF,32,NYK,74,74,2538,602,151,451,304,62,376,438,213,60,34,153,198,1659,2016-17,2017,2016,2,20,5
anthojo01,663810,C,34,SAS,19,0,122,10,0,10,5,8,23,31,3,2,6,4,11,25,2016-17,2017,2016,3,27,1
arizatr01,7806971,SF,31,HOU,80,80,2773,326,191,135,93,54,404,458,175,147,20,73,133,936,2016-17,2017,2016,2,11,5
arthuda01,8070175,PF,28,DEN,41,7,639,95,53,42,19,25,87,112,42,19,21,36,76,262,2016-17,2017,2016,2,8,2
asikom01,9904494,C,30,NOP,31,19,482,31,0,31,23,48,115,163,15,5,10,14,51,85,2016-17,2017,2016,2,19,1
augusdj01,7250000,PG,29,ORL,78,20,1538,195,95,100,131,15,102,117,209,31,1,90,101,616,2016-17,2017,2016,2,22,4
babbilu01,1227000,SF,27,MIA,68,55,1065,113,87,26,11,12,129,141,36,20,11,25,118,324,2016-17,2017,2016,2,16,5
bakerro01,543471,SG,23,NYK,52,13,857,82,23,59,28,12,86,98,107,34,8,56,74,215,2016-17,2017,2016,1,20,6
barbole01,4000000,SG,34,PHO,67,0,963,172,35,137,40,15,89,104,81,31,8,48,82,419,2016-17,2017,2016,3,24,6
bareajo01,4096950,PG,32,DAL,35,6,771,142,53,89,44,9,75,84,193,14,1,63,30,381,2016-17,2017,2016,2,7,4
barneha02,22116750,PF,24,DAL,79,79,2803,599,78,521,242,93,301,394,116,65,15,102,128,1518,2016-17,2017,2016,1,7,2
barnema02,6125000,SF,36,TOT,74,18,1777,185,87,98,70,70,314,384,195,48,26,107,185,527,2016-17,2017,2016,3,29,5
barnema02,383351,SF,36,TOT,74,18,1777,185,87,98,70,70,314,384,195,48,26,107,185,527,2016-17,2017,2016,3,29,5
barnema02,6125000,SF,36,SAC,54,13,1367,147,69,78,50,55,238,293,150,36,17,83,138,413,2016-17,2017,2016,3,26,5
barnema02,383351,SF,36,SAC,54,13,1367,147,69,78,50,55,238,293,150,36,17,83,138,413,2016-17,2017,2016,3,26,5
barnema02,6125000,SF,36,GSW,20,5,410,38,18,20,20,15,76,91,45,12,9,24,47,114,2016-17,2017,2016,3,10,5
barnema02,383351,SF,36,GSW,20,5,410,38,18,20,20,15,76,91,45,12,9,24,47,114,2016-17,2017,2016,3,10,5
